"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"SM PETRO WORLD LLC","HOME TOWN","108 W HOWARD AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","MALIK, NIDA S, AGENT","2026-05-12","2025-07-15","100","1","1","1","1","0",
"SLOS PUB LLC","SLO'S PUB","10599 BIG ARBOR VITAE DR","ARBOR VITAE","WI","54568","VILAS","TOWN of ARBOR VITAE","Suzanne Slominski","2026-06-30","2026-05-05","25","1","1","0","1","0",
"SLINGER GROUP LLC","SMILEY C STORE","104 KETTLE MORAINE DR N","SLINGER","WI","53086","WASHINGTON","VILLAGE of SLINGER","DHAVAL PATEL","2027-06-30","2026-06-22","50","1","1","1","1","0",
"SKY LIGHT FOOD MART INC","SKY LIGHT FOOD MART","2050 FISH HATCHERY RD","MADISON","WI","53713","DANE","CITY of MADISON","GURPREET SINGH","2025-06-30","2026-04-16","100","1","1","1","1","0",
"SKY HIGH CAMPING RESORT INC","SKY HIGH CAMPING RESORT","N5740 SKY HIGH DR","PORTAGE","WI","53901","COLUMBIA","TOWN of CALEDONIA","ERIC ANDERSON","2026-06-30","2025-07-22","25","1","1","1","1","0",
"SKY ENTERPRISES GROUP LLC","HWY 33 LIQUOR","306 WASHINGTON ST","HORICON","WI","53032","DODGE","CITY of HORICON","BRYAN REYNOSA","2026-06-30","2025-06-24","100","1","1","1","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","2151 S 42ND ST","MANITOWOC","WI","54220","MANITOWOC","CITY of MANITOWOC","JOHN BILSKI","2026-06-30","2025-07-15","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","2717 BIRCH ST","EAU CLAIRE","WI","54701","EAU CLAIRE","CITY of EAU CLAIRE","SALWASSER, AMANDA","2026-06-30","2025-07-14","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS #2733","2615 N CLAIREMONT AVE","EAU CLAIRE","WI","54703","EAU CLAIRE","CITY of EAU CLAIRE","CHA-KEGEL, MARTHA","2026-06-30","2025-07-14","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","1109 CHIPPEWA CROSSING BLVD","CHIPPEWA FALLS","WI","54729","CHIPPEWA","CITY of CHIPPEWA FALLS","LORI GAROFALO","2026-06-30","2025-07-15","50","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","11111 WEST GREENFIELD AVE","WEST ALLIS","WI","53214","MILWAUKEE","CITY of WEST ALLIS","DIANNA FIGUEROA","2026-06-30","2025-07-14","100","0","1","1","0","1",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","1260 CROSSING MEADOWS DRIVE","ONALASKA","WI","54650","LA CROSSE","CITY of ONALASKA","ADAM WERSHOFEN","2026-06-30","2025-07-10","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","1613 N. CENTRAL AVE","MARSHFIELD","WI","54449","WOOD","CITY of MARSHFIELD","MARTIN CHY","2026-06-30","2025-07-07","0","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","2915 NEW PINERY ROAD","PORTAGE","WI","53901","COLUMBIA","CITY of PORTAGE","ERIC ERICKSON","2026-06-30","2025-07-25","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","FESTIVAL FOODS","5740 WASHINGTON AVE","MT PLEASANT","WI","53406","RACINE","VILLAGE of MOUNT PLEASANT","JONATHAN KORFF","2026-06-30","2025-07-01","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC.","LAKESIDE FOODS","25300 75TH ST.","SALEM","WI","53168","KENOSHA","VILLAGE of PADDOCK LAKE","ROBERT WARMOUTH","2026-06-30","2025-07-03","100","1","1","1","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","595 S TAYLOR DR","SHEBOYGAN","WI","53081","SHEBOYGAN","CITY of SHEBOYGAN","JOEL CULLEN","2026-06-30","2025-07-14","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","3007 MALL DR","EAU CLAIRE","WI","54701","EAU CLAIRE","CITY of EAU CLAIRE","MEYER, ZACHARY A","2026-06-30","2025-07-14","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","2430 UNIVERSITY AV","GREEN BAY","WI","54302","BROWN","CITY of GREEN BAY","ARLT, JONATHAN","2026-06-30","2025-07-09","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","2250 W MASON ST","GREEN BAY","WI","54303","BROWN","CITY of GREEN BAY","WAELCHLI, SUSAN","2026-06-30","2025-07-09","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","110 S 17TH AVE","WAUSAU","WI","54401","MARATHON","CITY of WAUSAU","JACOB  SISCHO","2026-06-30","2025-07-11","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","2415 WESTOWNE AVE","OSHKOSH","WI","54904","WINNEBAGO","CITY of OSHKOSH","JASON STEFFEN","2026-06-30","2025-07-16","100","0","1","0","0","1",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","5600 S 108TH STREET","HALES CORNERS","WI","53130","MILWAUKEE","VILLAGE of HALES CORNERS","GREGORY GLISCH","2026-06-30","2026-02-26","100","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","308 N SHAWANO ST","NEW LONDON","WI","54961","WAUPACA","CITY of NEW LONDON","DENNIS KOLBE","2026-06-30","2026-03-31","50","1","1","0","1","0",
"SKOGEN'S FOODLINER, INC","FESTIVAL FOODS","1125 E. JOHNSON ST.","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","JARED TIGERT","2026-06-30","2025-07-24","100","1","1","0","1","0",
"SKOGEN'S FOODLINER INC.","FESTIVAL FOODS","1001 MAIN AVE.","DE PERE","WI","54115","BROWN","CITY of DE PERE","CHIZEK, WILLIAM","2026-06-30","2025-07-21","100","1","1","0","1","0",
"SKOGEN'S FOODLINER INC","FESTIVAL FOODS","328 WASHINGTON STREET","FORT ATKINSON","WI","53538","JEFFERSON","CITY of FORT ATKINSON","LUCAS SHOEMAKER","2026-06-30","2025-06-18","100","1","1","0","1","0",
"SKOGEN'S FOODLINER INC","EXPRESS MARKET BY FESTIVAL FOODS","6205 BUSINESS HWY 51","WESTON","WI","54476","MARATHON","VILLAGE of WESTON","ISRAEL FERNANDEZ","2026-06-30","2025-07-10","100","1","1","1","1","0",
"SKOGEN'S FOODLINER INC","FESTIVAL FOODS","647 S GREEN BAY ROAD","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","KURT GILHART","2026-06-30","2025-10-07","100","1","1","0","1","0",
"SKOGEN'S FOODLINER INC","FESTIVAL FOODS","2534 STEFFENS COURT","GREEN BAY","WI","54311","BROWN","VILLAGE of BELLEVUE","NICK KAISERSHOT","2026-06-30","2025-06-13","100","1","1","1","1","0",
"SKOGEN'S FOODLINER INC","FESTIVAL FOODS","1275 BELL AVE","HARTFORD","WI","53027","WASHINGTON","CITY of HARTFORD","KYLE KAEHNE","2026-06-30","2025-07-07","55","1","1","1","1","0",
"SKOGEN'S FOODLINER INC","FESTIVAL FOODS","1600 ACADEMY AVENUE","STEVENS POINT","WI","54481","PORTAGE","CITY of STEVENS POINT","BRASEL, JEFF","2026-06-30","2025-07-15","100","1","1","0","1","0",
"SKOGEN FOODLINER, INC","FESTIVAL FOODS","750 NORTH UNION STREET","MAUSTON","WI","53948","JUNEAU","CITY of MAUSTON","KIMBERLY GOODWIN","2026-06-30","2025-07-10","50","1","1","0","1","0",
"SKG MART, LLC, DBA LONE ROCK SHELL","LONE ROCK SHELL","33659 US HWY 14","LONE ROCK","WI","53556","RICHLAND","VILLAGE of LONE ROCK","SUKHDEEP GILL","2026-06-30","2026-03-18","25","1","1","1","1","0",
"Skabroud's Store","Skabroud's Store - Sheldon LLC","W5541 Main St","Sheldon","WI","54766","RUSK","VILLAGE of SHELDON","","2026-06-30","2025-07-08","5","1","1","0","1","0",
"SK-GRUS LLC DBA NORTHPORT MART","NORTHPORT MART","E8480 HWY 54","NEW LONDON","WI","54961","WAUPACA","TOWN of MUKWA","","2026-06-30","2025-07-16","25","1","1","0","1","0",
"SK QUICK STOP CORP","SK QUICK STOP","506 S MAIN ST","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","SATWINDER KAUR","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SK PANTRY INC.","BC SUPERMARKET","4225 W NORTH AV","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","DHINGRA, SANJEEV, AGENT","2026-02-11","2025-07-15","100","1","1","1","1","0",
"SK GAS MART LLC","BADGER MOBIL","1201 NORTH BADGER AVENUE","APPLETON","WI","54914","OUTAGAMIE","CITY of APPLETON","SATBIR SINGH","2026-06-30","2026-03-18","100","1","1","1","1","0",
"SIXTEENTH STREET FOODS","SIXTEENTH STREET FOODS","2722 SIXTEENTH ST","RACINE","WI","53405","RACINE","CITY of RACINE","MUSTAFA ABDULRAHMAN","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SIX K'S KEG INC","THE KEG BAR & GRILL AND KILBOURN CORK","716 - 732 OAK STREET","WISCONSIN DELLS","WI","53965","COLUMBIA","CITY of WISCONSIN DELLS","KEITH G KOEHLER","2026-06-30","2026-02-25","100","1","1","1","1","0",
"SISTER'S SALOON INC","SISTERS SALOON","8780 HWY 70","ST GERMAIN","WI","54558","VILAS","TOWN of SAINT GERMAIN","CHERIE L ANDERSON","2026-06-30","2025-07-06","25","1","0","0","1","0",
"SISI FOOD AND BEVERAGES LLC","SISI FOOD AND BEVERAGES","2441 S 18TH ST","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","LASISI, SODIK D, AGENT","2025-11-02","2025-07-15","100","1","1","1","1","0",
"SIRK STEAK LLC","MO'S A PLACE FOR STEAKS","720 N PLANKINTON AV","MILWAUKEE","WI","53203","MILWAUKEE","CITY of MILWAUKEE","VASSALLO, JAMES A, AGENT","2025-09-03","2025-07-15","100","1","1","0","1","0",
"SIONS LLC","SIONS","1919 MEAD ST","RACINE","WI","53403","RACINE","CITY of RACINE","ALEX LAMBERT","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SINGH, RAJWINDER","SIMAR OIL LLC","1112 MADISON ST","BEAVER DAM","WI","53916","DODGE","TOWN of BEAVER DAM","SINGH, RAJWINDER","2027-06-30","2026-06-18","100","1","1","0","1","0",
"SINGH, INC","ONE STOP PANTRY","3927 W VILLARD AV","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","MANGAT, DAYA SINGH, AGENT","2025-09-02","2025-07-15","100","1","1","1","1","0",
"SINGH FOOD AND BEER LLC","CONCORDIA FOOD MARKET","3299 N 12TH ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","KOUR, MANJEET, AGENT","2026-02-27","2025-07-15","100","1","1","1","1","0",
"SINGH EXPRESS MART LLC","SINGH EXPRESS MART","473 FOND DU LAC AVE","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","RAJVINDER SINGH","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SINGH & WADE, INC","7TH STREET FOODS","2900 N 7TH ST","MILWAUKEE","WI","53212","MILWAUKEE","CITY of MILWAUKEE","SINGH, JATINDER, AGENT","2026-01-14","2025-07-15","100","1","1","0","1","0",
"SINGH & WADE, INC","BURLEIGH FOOD","1845 W BURLEIGH ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","SINGH, JATINDER, AGENT","2025-09-23","2025-07-15","100","1","1","1","1","1",
"SING AISH INC","JEN'S BEER & LIQUOR","4312 W HOWARD AVE","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","SUKHWINDER SINGH","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SINCERESWAN, LLC","SWINGIN DOOR EXCHANGE","219 E MICHIGAN ST","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","SINCERE, MICHELLE M, AGENT","2025-10-11","2025-07-15","100","1","1","0","1","0",
"SIMRGUR, INC","MILL RD CITGO","6400 N 43RD ST","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","AHUJA, KULDIP S, AGENT","2026-01-12","2025-07-15","100","1","1","1","1","0",
"SIMRAN CORPORATION","HWY. 12 & 16 CITGO","1030 E. CLIFTON ST.","TOMAH","WI","54660","MONROE","CITY of TOMAH","HARSHAL PATEL","2026-06-30","2025-07-10","50","1","1","1","1","0",
"SIMPLY WELL LLC","CBD","2800 NEW PINERY RD SUITE 15","PORTAGE","WI","53901","COLUMBIA","CITY of PORTAGE","NATHAN GRIEPENTROG","2026-06-30","2025-07-25","100","0","0","1","1","0",
"SIMPLY WELL LLC","CBD","2800 NEW PINERY RD SUITE 15","PORTAGE","WI","53901","COLUMBIA","CITY of PORTAGE","NATHAN GRIEPENTROG","2026-06-30","2025-07-25","100","0","0","1","1","0",
"SIMPLE TIMES, LLC","SIMPLE TIMES, LLC","9606 AKRON AVE","ALMOND","WI","54909","PORTAGE","TOWN of BELMONT","John Swinford Jr","2027-06-30","2026-06-15","5","1","0","0","1","0",
"SIMPLE SPIRITS INC","GENEVA LIQUORS","797 WELLS ST.","LAKE GENEVA","WI","53147","WALWORTH","CITY of LAKE GENEVA","RAJESH SACHDEVA","2026-06-30","2026-02-16","100","1","1","1","1","0",
"SIMONAR SHELL, LLC.","SIMONAR SHELL","1625 MAIN ST.","LUXEMBURG","WI","54217","KEWAUNEE","VILLAGE of LUXEMBURG","DALE SIMONAR","2027-06-30","2026-06-15"," 25.00","1","1","1","1","0",
"SIMER LIQUOR & GROCERY, LLC","I.G. LIQUOR & BEER MART","1020 N IRWIN","GREEN BAY","WI","54302","BROWN","CITY of GREEN BAY","GREWAL, SIMERDEEP S.","2026-06-30","2025-07-09","100","1","1","1","1","0",
"SIM INC","X-TEME SMOKE AND VAPOR 1","1822 W COURT ST","JANESVILLE","WI","53548","ROCK","CITY of JANESVILLE","SAAD MUSTAFA","2026-06-30","2025-07-16","100","1","1","1","1","0",
"SIM INC","X-TREME SMOKE AND VAPOR 2","1905 CENTER AVE STE 3","JANESVILLE","WI","53546","ROCK","CITY of JANESVILLE","SAAD MUSTAFA","2026-06-30","2025-07-16","100","1","1","1","1","0",
"SIM INC","X-TREME SMOKE AND VAPOR 3","2811 MILTON AVE STE 140","JANESVILLE","WI","53545","ROCK","CITY of JANESVILLE","SAAD MUSTAFA","2026-06-30","2025-07-16","100","1","1","1","1","0",
"SILVERHAZE","SILVERHAZE","2440 N GRANDVIEW BLVD","WAUKESHA","WI","53188","WAUKESHA","CITY of WAUKESHA","MOHAMED MUSAITIF","2027-06-30","2026-06-10","100","1","1","1","1","0",
"SILVER SPRINGS CAMPSITES INC","SILVER SPRINGS CAMPSITES INC","N5048 LUDWIG RD","RIO","WI","53960","COLUMBIA","TOWN of SPRINGVALE","Donna Nault","2026-06-30","2026-06-26","5","1","0","0","1","0",
"SILVER SPRING LIQUOR, INC","SILVER SPRING LIQUOR","6018 W SILVER SPRING DR","MILWAUKEE","WI","53218","MILWAUKEE","CITY of MILWAUKEE","PATEL, JYOTSNABEN K, AGENT","2025-09-27","2025-07-15","100","1","1","1","1","0",
"SILVER SPRING CORNER PUMP LLC","SILVER SPRING CORNER PUMP","N56W17450 SILVER SPRING DR.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","MCMAHON, EDWARD IV","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SILVER SPRING BP, LLC","BP GAS STATION","3606 W SILVER SPRING DR","MILWAUKEE","WI","53209","MILWAUKEE","CITY of MILWAUKEE","DHAWAN, ISH, AGENT","2026-01-26","2025-07-15","100","1","1","1","1","0",
"SILVER SPRAY CAR WASH LLC","SILVER SPRAY CAR WASH","11522 N PORT WASHINGTON RD","MEQUON","WI","53092","OZAUKEE","CITY of MEQUON","PATRICK J FRANKARD","2026-06-30","2026-03-11","100","1","0","0","1","0",
"SILVER NUGGET, INC.","DOWNTOWN LOUNGE","10 SILVER STREET","HURLEY","WI","54534","IRON","CITY of HURLEY","TERRY BARLAND","2026-06-30","2025-07-03","25","0","1","1","1","0",
"SILVER LILLY LLC","LILLY MART BP","N56W13920 SILVER SPRING DR.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","VOOTKUR, RAMAKRISHNA","2026-06-30","2025-07-14","100","1","1","1","1","0",
"Silver Lake Petro Mart","Citgo Silver Lake","515 S. Cogswell Dr","Silver Lake","WI","53170","KENOSHA","VILLAGE of SALEM LAKES","Suril Patel","2026-06-30","2025-08-22","50","1","1","1","1","0",
"SILVER LAKE AUTO SERVICE INC","SILVER LAKE CONVENIENCE STORE","551 N COGSWELL DRIVE","SILVER LAKE","WI","53170","KENOSHA","VILLAGE of SALEM LAKES","HARMON T GARWOOD","2026-06-30","2025-08-22","50","1","1","1","1","0",
"SILVER HAZE LLC","SILVER HAZE","13665 W. CAPITOL DRIVE","BROOKFIELD","WI","53005","WAUKESHA","CITY of BROOKFIELD","MOHAMED MUSAITIF","2025-06-30","2024-08-12","100","1","1","1","1","0",
"SILVER CREEK INVESTORS LLC","WATERTOWN COUNTRY CLUB","1340 N. WATER STREET","WATERTOWN","WI","53098","DODGE","CITY of WATERTOWN","DANIEL RAHFALDT","2026-06-30","2026-03-26","100","1","1","1","1","0",
"SILVER CITY SMOKE SHOP LLC","SILVER CITY SMOKE SHOP","3749 W NATIONAL AV","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","JIMENEZ, JESSICA, AGENT","2025-10-23","2025-07-15","100","1","1","1","1","0",
"SILVER CHOICE LLC","SILVER CHOICE","5300 S 76TH STREET UNIT 730","GREENDALE","WI","53129","MILWAUKEE","VILLAGE of GREENDALE","","2026-06-30","2025-07-11","100","0","0","1","1","0",
"SILA GROUP, LLC","ONE STOP ONLY","3443 W WELLS ST","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","ABULAWI, AHLAM, AGENT","2025-08-05","2025-07-15","100","1","1","1","1","0",
"SIF INVESTMENT INC.","EXPRESS MART","1231 MILWAUKEE AVENUE, UNIT 11","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","TAJAMMUL SYED","2026-06-30","2025-07-03","100","1","1","1","1","0",
"SIEWERT INVESTMENTS INC","MR. SIPPI","N1415 830TH ST","HAGER CITY","WI","54014","PIERCE","TOWN of TRENTON","GLENN SIEWERT","2026-06-30","2025-09-26","5","1","0","0","1","0",
"SIEGEL-GALLAGHER MANAGEMENT COMPANY","ANCHORS AWAY SHIP STORE","2 A CHRISTOPHER COLUMBUS CSWY","RACINE","WI","53403","RACINE","CITY of RACINE","VANDERA, CARRIE","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SIDHU PETROLEUM INC.","SIDHU PETROLEUM","4302 W CAPITOL DR","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","SINGH, PAKHAR, AGENT","2025-07-20","2025-07-15","100","1","1","1","1","0",
"SIDETRACKED BAR & GRILL, LLC","SIDETRACKED BAR & GRILL","129 N LAKE STREET","NEENAH","WI","54956","WINNEBAGO","CITY of NEENAH","KEVIN M. REDLIN","2026-06-30","2025-10-07","100","1","0","0","1","0",
"SIDELINES OF BENNETT INC","SIDELINES BAR BAIT & RESORT","7860 S CTY RD P","LAKE NEBAGAMON","WI","54849","DOUGLAS","TOWN of BENNETT","TRACY KESELUK","2027-06-30","2026-06-17","20","1","1","0","1","0",
"SIDDIQUIE PETROLEUM, LLC","SP MART","227 W HOLT AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","SIDDIQIE, MOHAMMAD S, AGENT","2026-04-08","2025-07-15","100","1","1","1","1","0",
"SIDDIQUIE BROTHERS LLC","CITGO ON VLIET","3308 W VLIET ST","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","SIDDIQUIE, SHAHAN, AGENT","2026-02-11","2025-07-15","100","1","1","1","1","0",
"SIDDIQUE, INC","STAR FUEL CENTER AND EXPRESS PANTRY","5656 N 76TH ST","MILWAUKEE","WI","53218","MILWAUKEE","CITY of MILWAUKEE","SIDDIQUE, MOHAMMAD S, AGENT","2026-04-01","2025-07-15","100","1","1","1","1","0",
"SIDDI VINAYAK INC","ARBEE'S LIQUOR STORE","2062 LATHROP AVENUE","RACINE","WI","53405","RACINE","CITY of RACINE","JAGDISH PATEL","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SID & SIA CORPORATION","JAKE'S MOBIL","6501 US HIGHWAY 51 S","JANESVILLE","WI","53546","ROCK","TOWN of ROCK","SATISH PATEL","2027-06-30","2026-06-15","25","1","1","1","1","0",
"SHUBHAM, LLC","LAYTON BEER & LIQUOR","2008 W LAYTON AV","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","PATEL, BHAVIN G, AGENT","2026-01-22","2025-07-15","100","1","1","1","1","0",
"SHUBH CAMBRIA CORPORATION","CAMBRIA FOOD MART","N7442 STATE HWY 146","CAMBRIA","WI","53923","COLUMBIA","TOWN of RANDOLPH","Suchinder Singh","2026-06-30","2025-06-19","5","1","1","1","1","0",
"SHREE VERAI LLC","FRANKS FOOD & LIQUOR","2500 S 9TH ST","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","PATEL, DIXITKUMAR C, AGENT","2026-05-09","2025-07-15","100","1","1","1","1","0",
"SHREE UMIYAKRUPA LLC","GRAND AVE MOBIL","223 GRAND AVENUE","PORT WASHINGTON","WI","53074","OZAUKEE","CITY of PORT WASHINGTON","VIPULKUMAR P PATEL","2027-06-30","2026-06-18","100","1","1","0","1","0",
"SHREE SHADI BHRAMANI INC","MATRANGAS SUPERMARKET","1200 VILLA STREET","RACINE","WI","53403","RACINE","CITY of RACINE","YES PATEL","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SHREE RAM 7155 LLC","MARTHA'S VINEYARD","7155 N 76TH ST","MILWAUKEE","WI","53223","MILWAUKEE","CITY of MILWAUKEE","PATEL, POOJABEN, AGENT","2026-02-03","2025-07-15","100","1","1","1","1","0",
"SHREE RAM 1401 LLC","MAX LIQUOR & FOOD","1401 W GREENFIELD AV","MILWAUKEE","WI","53204","MILWAUKEE","CITY of MILWAUKEE","PATEL, USHABEN H, AGENT","2026-02-06","2025-07-15","100","1","1","1","1","0",
"SHREE GOPINATHJI CORP","STURTEVANT SPIRITS AND WINE","9600 DURAND AVENUE","STURTEVANT","WI","53177","RACINE","VILLAGE of STURTEVANT","PATEL, RAJESH CHANDU","2026-06-30","2025-07-07","100","1","1","1","1","0",
"SHREE ASPAPURI INC.","GR8 STORE","3553 8TH STREET SOUTH","WISCONSIN RAPIDS","WI","54494","WOOD","CITY of WISCONSIN RAPIDS","ARPAN B. PATEL","2026-06-30","2025-08-27","100","1","1","1","1","0",
"SHOVELHEADS CORNER BAR LLC","SHOVELHEADS CORNER BAR","501 N 4TH ST","READSTOWN","WI","54652","VERNON","VILLAGE of READSTOWN","REBECCA COLLETT","2027-06-30","2026-06-18","50","1","1","0","1","0",
"SHOTGUN SUZIE'S SALOON, LLC","SHOTGUN SUZIE'S","1565 COUNTY ROAD D","EMERALD","WI","54013","ST CROIX","TOWN of GLENWOOD","JAMES BADE","2026-06-30","2025-07-11","20","1","1","1","1","0",
"SHOPIERE GAS MART, INC","SHOPIERE GAS MART","1902 SHOPIERE ROAD","BELOIT","WI","53511","ROCK","CITY of BELOIT","HARJINDER SINGH SAMRA","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SHOP-RITE, LLC","METRO MARKET #6301","17630 W. BLUEMOUND ROAD","BROOKFIELD","WI","53045","WAUKESHA","CITY of BROOKFIELD","STEVEN P. HARTZELL","2025-06-30","2024-08-12","100","1","1","0","1","0",
"SHOP-RITE LLC","SHOP-RITE LLC/PICK 'N SAVE #6353","246-8TH STREET","MONROE","WI","53566","GREEN","CITY of MONROE","MARCI SEVERSON","2026-06-30","2025-07-09","100","1","1","1","1","0",
"SHOOTER'S PUB INCORPORATED","SHOOTER'S PUB ","107 E ELM ST","RIVER FALLS","WI","54022","PIERCE","CITY of RIVER FALLS","DANIEL A. SUFFIELD","2026-06-30","2025-07-08","100","1","0","0","1","0",
"SHOOT'S BAR & GRILL, INC.","SHOOT'S BAR & GRILL, INC.","3375 SIDE ST","SUAMICO","WI","54173","BROWN","VILLAGE of SUAMICO","HATTIE SCHUETTE","2027-06-30","2026-06-17","100","1","0","0","1","0",
"SHOBHA BAANI INC","SHOBHA BAANI INC","619 STATE HWY 69","NEW GLARUS","WI","53574","GREEN","VILLAGE of NEW GLARUS","SINGH, SUNDEEP","2026-06-30","2025-07-02","100","1","1","1","1","0",
"SHIVKUSH LLC","MAIN STREET CITGO","834 N MAIN ST","OSHKOSH","WI","54901","WINNEBAGO","CITY of OSHKOSH","NEHA  PATEL","2026-06-30","2025-07-16","100","0","1","0","0","1",
"SHIVAY AND ERIC INC.","CAPTIOLDEALZ SMOKE SHOP","7822 W CAPITOL DR","MILWAUKEE","WI","53222","MILWAUKEE","CITY of MILWAUKEE","PATEL, SANJAYKUMAR, AGENT","2026-01-15","2025-07-15","100","1","1","1","1","0",
"SHIVASHAKTI PETRO INC","NORTH MALL MOBIL","1575 N. CASALOMA DR.","GRAND CHUTE","WI","54913","OUTAGAMIE","TOWN of GRAND CHUTE","RAJAN CHOPRA","2026-06-30","2026-02-13","0","1","1","1","1","0",
"SHIVAM PETRO, INC.","PANTRY 76 BP","3700 JACKSON ST","OSHKOSH","WI","54901","WINNEBAGO","CITY of OSHKOSH","RAJAN  CHOPRA","2026-06-30","2025-07-16","100","0","1","0","0","1",
"SHIV RESTAURANT LLC","IVR BAR","10950 W GOOD HOPE RD","MILWAUKEE","WI","53224","MILWAUKEE","CITY of MILWAUKEE","PATEL, APEXA V, AGENT","2025-12-11","2025-07-15","100","1","1","1","1","0",
"SHIV 3935, LLC","MARTHA'S VINEYARD","3928 S 76TH ST","MILWAUKEE","WI","53220","MILWAUKEE","CITY of MILWAUKEE","PATEL, PRAKASHKUMAR KANTILAL, AGENT","2025-11-21","2025-07-15","100","1","1","0","1","0",
"SHIRAZY MARKET LLC","SHIRAZY MARKET PERSIAN FOOD","2864 N OAKLAND AV","MILWAUKEE","WI","53211","MILWAUKEE","CITY of MILWAUKEE","ABUNASR SHIRAZ, MOHSEN, AGENT","2026-06-10","2025-07-15","100","1","1","1","1","0",
"SHILPA, INC","GRAND AVENUE MARKET","612 W WISCONSIN AV","MILWAUKEE","WI","53203","MILWAUKEE","CITY of MILWAUKEE","SIDDIQUE, MOHAMMAD S, AGENT","2026-03-18","2025-07-15","100","1","1","0","1","0",
"SHIFTY'S SHACK 2, LLC","SHIFTY'S SHACK","110 E OAK ST","SPARTA","WI","54656","MONROE","CITY of SPARTA","MICHELLE BRUEGGEN","2026-06-30","2025-08-14","100","1","0","0","1","0",
"SHERRY GAS LLC","SHERRY GAS","1000 S. THIRD STREET","WATERTOWN","WI","53094","JEFFERSON","CITY of WATERTOWN","GURPREET SINGH BAJWA","2026-06-30","2026-03-26","100","1","1","1","1","0",
